job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Marketing Intern,US,Marketing,,We are a great company.,We need a marketing intern.,Strong communication skills.,Free coffee,0,1,0,Other,Internship,,Marketing,Marketing,0
2,Data Entry,US,,,,"Make $1000 a week from home!",No experience needed. Just type.,,1,0,0,Part-time,Entry level,,Telecommunications,Administrative,1
3,Senior Engineer,US,Engineering,,Tech Corp.,"Lead our engineering team.","Python, AWS, 5+ years exp.",Health insurance,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,0
4,Mystery Shopper,US,,,,"Get paid to shop!",Must have a bank account.,,0,0,0,Other,Entry level,,,Other,1
5,Teacher,US,Education,,School District,Math teacher needed.,Teaching credential required.,Pension,0,1,1,Full-time,Associate,Bachelor's Degree,Education,Education,0
6,Oil Rig Worker,US,,,,"Make $5000 a week!",No exp needed.,,0,0,0,Contract,Entry level,,,Oil & Energy,1
7,Customer Service,US,Support,,TechSupport Inc,Answer calls.,Good English needed.,Health,0,1,0,Full-time,Entry level,,Consumer Services,Customer Service,0
8,Driver,US,,,,"Drive our cars and get paid!",License needed.,,0,0,0,Part-time,Entry level,,,Transportation,1
9,Accountant,US,Finance,,Bank of America,Manage ledgers.,CPA required.,401k,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Accounting,0
10,Nurse,US,Healthcare,,Hospital,Care for patients.,RN license.,Health,0,1,1,Full-time,Associate,,Hospital & Health Care,Health Care Service,0
11,Data Analyst,US,IT,,Tech Solutions,Analyze datasets.,SQL and Python.,Stock Options,0,1,0,Full-time,Associate,Bachelor's Degree,Information Technology,Information Technology,0
12,Sales Rep,US,Sales,,,Sell our products.,Persuasion skills.,Commission,0,0,0,Full-time,Entry level,,Retail,Sales,0
13,Plumber,US,Trades,,Plumbing Co,Fix pipes.,License.,Truck,0,1,0,Full-time,Mid-Senior level,,Construction,Other,0
14,Chef,US,Hospitality,,Restaurant,Cook food.,Culinary school.,Meals,0,1,0,Full-time,Associate,,Hospitality,Food Service,0
15,Scam Job,US,,,,"Easy money!",None.,,1,0,0,Other,Entry level,,,Other,1
